date,latitude,longitude,enginetemp
2015-07-31 07:11:21,43.444690704,-80.54639435,20
2015-07-31 07:11:24,43.444683075,-80.54637909,20
2015-07-31 07:11:27,43.444683075,-80.54637909,20
2015-07-31 07:11:30,43.444667816,-80.5463562,20
2015-07-31 07:11:33,43.444667816,-80.5463562,20
2015-07-31 07:11:36,43.444664001,-80.54634857,20
2015-07-31 07:11:39,43.444664001,-80.54634857,20
2015-07-31 07:11:42,43.444652557,-80.54632568,20
2015-07-31 07:11:45,43.444652557,-80.54632568,20
2015-07-31 07:11:48,43.444648743,-80.54631805,20
2015-07-31 07:11:51,43.444648743,-80.54631805,20
2015-07-31 07:11:54,43.444637299,-80.5463028,20
2015-07-31 07:11:57,43.444637299,-80.5463028,20
2015-07-31 07:12:01,43.444629669,-80.54628754,20
2015-07-31 07:12:04,43.444629669,-80.54628754,20
2015-07-31 07:12:07,43.444618225,-80.54626465,20
2015-07-31 07:12:10,43.444618225,-80.54626465,20
2015-07-31 07:12:13,43.444610596,-80.54624939,20
2015-07-31 07:12:16,43.444610596,-80.54624939,20
2015-07-31 07:12:19,43.444602966,-80.54623413,20
2015-07-31 07:12:22,43.444602966,-80.54623413,20
2015-07-31 07:12:25,43.444595337,-80.5462265,20
2015-07-31 07:12:28,43.444595337,-80.5462265,20
2015-07-31 07:12:31,43.444583893,-80.54620361,20
2015-07-31 07:12:34,43.444583893,-80.54620361,20
2015-07-31 07:12:37,43.444576263,-80.54618835,20
2015-07-31 07:12:40,43.444576263,-80.54618835,20
2015-07-31 07:12:43,43.444564819,-80.54616547,20
2015-07-31 07:12:46,43.444564819,-80.54616547,20
2015-07-31 07:12:50,43.444553375,-80.54615021,20
2015-07-31 07:12:53,43.444553375,-80.54615021,20
2015-07-31 07:12:56,43.444541931,-80.54613495,20
2015-07-31 07:12:59,43.444541931,-80.54613495,20
2015-07-31 07:13:02,43.444530487,-80.54611969,20
2015-07-31 07:13:05,43.444530487,-80.54611969,20
2015-07-31 07:13:08,43.444511414,-80.5460968,20
2015-07-31 07:13:11,43.444511414,-80.5460968,20
2015-07-31 07:13:14,43.444503784,-80.54608154,20
2015-07-31 07:13:17,43.444503784,-80.54608154,20
2015-07-31 07:13:20,43.44449234,-80.54606628,20
2015-07-31 07:13:23,43.44449234,-80.54606628,20
2015-07-31 07:13:26,43.444480896,-80.5460434,20
